75389,Acosta,Teo,222-92-0724,Line Cook,15.00
20357,Agular,Jamie,576-43-6003,Waiting,15.00
76037,Breen,Brian,405-26-7794,Owner,70.00
48359,Brock,Sabrina,574-62-3045,Manager,25.00
56002,Brody,Glen,621-33-3469,App Chef,40.00
39160,Bryan,Angel,433-61-4314,Waiting,15.00
60088,Cook,Stephane,509-82-3020,Chef,55.00
91132,Dale,Michael,001-60-4100,Waiting,15.00
98627,Doe,Jane,618-72-3666,App Chef,40.00
71378,Doe,John,912-48-8846,Line Cook,15.00
15087,Dotson,Jamea,016-92-8287,Waiting,15.00
85633,Fadden,Anthony,035-70-6563,Waiting,15.00
97051,Fields,Darryan,016-92-2886,Waiting,15.00
56225,Flores,Jacob,003-96-7497,App Chef,40.00
51774,Genovese,Alison,512-44-4528,Prep Cook,15.00
49130,Han,Seo-Jun,313-06-7876,Cashier,15.00
68303,Hanson,Shaun,768-44-3141,Prep Cook,15.00
58419,Harper,Adam,059-36-8759,Waiting,15.00
25761,Heinz,Jo,574-36-9036,Host,15.00
80573,Lewin,Karla,635-58-7705,Cashier,15.00
55900,Lucas,Eliza,022-22-7703,Dishes,15.00
35952,Lyon,Alice,041-98-7472,Cashier,15.00
15055,Martin,Juan,005-94-4420,Prep Cook,15.00
83544,Martinez,David ,475-18-3360,Dishes,15.00
29778,Moreno,Sandra,221-86-6613,Line Cook,15.00
21411,O'Brian,Elenora,306-90-4215,Cashier,15.00
70540,Pardo,Ignacio,382-66-6631,Waiting,15.00
29670,Ramos,Martha,205-58-7546,Host,15.00
24324,Richards,Jake,674-32-1081,Waiting,15.00
00001,Schrute,Dwight,159-20-1111,Assistant to the Manager,27.50
77580,Young,Jordan,231-37-9761,Dishes,15.00
